Wavelength,S_Cone_Sensitivity,M_Cone_Sensitivity,L_Cone_Sensitivity
726.5,1.3660725052323391e-08,0.00019852331943661148,0.006031521534251905
727.0,1.3209538135724355e-08,0.00019196015822290136,0.0058229547583832225
727.5,1.2772174912749012e-08,0.0001855979428951451,0.00562106160407317
728.0,1.2348173724452767e-08,0.0001794302027449131,0.005425620190677081
728.5,1.193707291189102e-08,0.00017345046706377566,0.005236408637550283
729.0,1.1538410816119168e-08,0.00016765226514330316,0.005053205064048108
729.5,1.1151725778192615e-08,0.00016202912627506595,0.004875787589525887
730.0,1.0776556139166764e-08,0.0001565745797506344,0.004703934333338949
730.5,1.0412486510934744e-08,0.00015128275611072406,0.004537443525662402
731.0,1.0059286588740607e-08,0.0001461501908926312,0.00437619383995045
731.5,9.716772338666148e-09,0.0001411740208827974,0.0042200840604770746
732.0,9.38475972679315e-09,0.00013635138286766414,0.004069012971516256
732.5,9.063064719203399e-09,0.0001316794136336729,0.003922879357341973
733.0,8.751503281978688e-09,0.00012715524996726526,0.003781582002228208
733.5,8.449891381200798e-09,0.00012277602865488264,0.0036450196904489413
734.0,8.15804498295152e-09,0.0001185388864829666,0.0035130912062781533
734.5,7.875780053312639e-09,0.00011444096023795865,0.0033856953339898247
735.0,7.602912558365947e-09,0.00011047938670630032,0.003262730857857936
735.5,7.339247593719084e-09,0.00010665117659497628,0.0031440930983945565
736.0,7.084546773083124e-09,0.00010295283629314397,0.0030296635210641095
736.5,6.8385608396949896e-09,9.938074611050401e-05,0.002919320127569108
737.0,6.60104053679161e-09,9.593128635675703e-05,0.0028129409196120648
737.5,6.371736607609909e-09,9.260083734160361e-05,0.0027104038988954907
738.0,6.1503997953868176e-09,8.93857793747444e-05,0.0026115870671219
738.5,5.9367808433592585e-09,8.628249276588003e-05,0.002516368425993804
739.0,5.730630494764161e-09,8.328735782471107e-05,0.002424625977213715
739.5,5.53169949283845e-09,8.039675486093818e-05,0.0023362377224841464
740.0,5.339738580819054e-09,7.760706418426198e-05,0.00225108166350761
740.5,5.154508228030664e-09,7.491481953228376e-05,0.002169040675121302
741.0,4.975807808149027e-09,7.231716835420757e-05,0.002090017124701151
741.5,4.803446420937658e-09,6.981141152713816e-05,0.0020139182527577682
742.0,4.637233166160068e-09,6.739484992818022e-05,0.0019406512998017664
742.5,4.476977143579771e-09,6.506478443443849e-05,0.0018701235063437566
743.0,4.322487452960281e-09,6.281851592301775e-05,0.0018022421128943522
743.5,4.17357319406511e-09,6.065334527102269e-05,0.0017369143599641642
744.0,4.030043466657771e-09,5.8566573355558053e-05,0.0016740474880638041
744.5,3.891707370501776e-09,5.6555501053728574e-05,0.001613548737703885
745.0,3.758374005360641e-09,5.461742924263899e-05,0.0015553253493950183
745.5,3.6298608301122603e-09,5.2749756181842436e-05,0.0014992890183870287
746.0,3.5060187400920578e-09,5.0950269660685707e-05,0.0014453692588865905
746.5,3.3867069897498418e-09,4.9216854850964014e-05,0.0013935000398395908
747.0,3.2717848335354194e-09,4.7547396924472556e-05,0.001343615330191917
747.5,3.161111525898598e-09,4.593978105300652e-05,0.0012956490988894553
748.0,3.054546321289186e-09,4.439189240836114e-05,0.0012495353148780936
748.5,2.9519484741569895e-09,4.29016161623316e-05,0.0012052079471037188
749.0,2.8531772389518166e-09,4.146683748671311e-05,0.0011626009645122177
749.5,2.758091870123475e-09,4.008544155330087e-05,0.0011216483360494776
750.0,2.6665516221217715e-09,3.875531353389008e-05,0.0010822840306613853
750.5,2.5784173084607568e-09,3.7474379199648035e-05,0.001044443100515636
751.0,2.4935559789114474e-09,3.624072671923025e-05,0.0010080649306671542
751.5,2.411836242309104e-09,3.505248486066434e-05,0.000973089989392673
752.0,2.333126707488987e-09,3.390778239197792e-05,0.0009394587449689251
